Final area = 223043.0
Black area = 43542.0
block_name lower_left(x,y)coordinate upper_right(x,y)coordinate
sb0 (177.0, 0) (210.0, 43.0)
sb1 (668.0, 0) (705.0, 65.0)
sb2 (19.0, 0) (72.0, 34.0)
sb3 (210.0, 0) (247.0, 67.0)
sb4 (0, 0) (19.0, 29.0)
sb5 (336.0, 0) (375.0, 49.0)
sb6 (247.0, 0) (265.0, 40.0)
sb7 (496.0, 0) (518.0, 40.0)
sb8 (1099.0, 0) (1149.0, 62.0)
sb9 (518.0, 0) (534.0, 41.0)
sb10 (159.0, 0) (177.0, 52.0)
sb11 (72.0, 0) (111.0, 59.0)
sb12 (308.0, 0) (336.0, 61.0)
sb13 (111.0, 0) (159.0, 57.0)
sb14 (265.0, 0) (308.0, 63.0)
sb15 (881.0, 0) (933.0, 59.0)
sb16 (845.0, 0) (881.0, 57.0)
sb17 (452.0, 0) (496.0, 66.0)
sb18 (1780.0, 0) (1828.0, 51.0)
sb19 (395.0, 0) (426.0, 50.0)
sb20 (1080.0, 0) (1099.0, 37.0)
sb21 (1384.0, 0) (1434.0, 64.0)
sb22 (933.0, 0) (967.0, 49.0)
sb23 (1149.0, 0) (1169.0, 49.0)
sb24 (2027.0, 0) (2055.0, 45.0)
sb25 (2104.0, 0) (2143.0, 54.0)
sb26 (1264.0, 0) (1304.0, 55.0)
sb27 (798.0, 0) (823.0, 65.0)
sb28 (629.0, 0) (668.0, 46.0)
sb29 (0, 34.0) (62.0, 58.0)
sb30 (774.0, 0) (798.0, 26.0)
sb31 (426.0, 0) (452.0, 34.0)
sb32 (586.0, 0) (629.0, 53.0)
sb33 (1336.0, 0) (1358.0, 35.0)
sb34 (1169.0, 0) (1196.0, 54.0)
sb35 (1233.0, 0) (1264.0, 38.0)
sb36 (994.0, 0) (1033.0, 67.0)
sb37 (375.0, 0) (395.0, 60.0)
sb38 (705.0, 0) (728.0, 57.0)
sb39 (534.0, 0) (586.0, 55.0)
sb40 (1358.0, 0) (1384.0, 29.0)
sb41 (2000.0, 0) (2027.0, 55.0)
sb42 (2818.0, 0) (2871.0, 62.0)
sb43 (728.0, 0) (774.0, 61.0)
sb44 (1500.0, 0) (1547.0, 65.0)
sb45 (1455.0, 0) (1478.0, 44.0)
sb46 (823.0, 0) (845.0, 39.0)
sb47 (2182.0, 0) (2215.0, 65.0)
sb48 (967.0, 0) (994.0, 57.0)
sb49 (1033.0, 0) (1080.0, 65.0)
sb50 (1304.0, 0) (1336.0, 67.0)
sb51 (1945.0, 0) (1983.0, 57.0)
sb52 (1678.0, 0) (1723.0, 54.0)
sb53 (1434.0, 0) (1455.0, 43.0)
sb54 (1547.0, 0) (1565.0, 61.0)
sb55 (1565.0, 0) (1599.0, 56.0)
sb56 (1983.0, 0) (2000.0, 63.0)
sb57 (1196.0, 0) (1214.0, 47.0)
sb58 (3119.0, 0) (3153.0, 46.0)
sb59 (1908.0, 0) (1945.0, 50.0)
sb60 (1599.0, 0) (1622.0, 40.0)
sb61 (2795.0, 0) (2818.0, 33.0)
sb62 (1828.0, 0) (1847.0, 60.0)
sb63 (2554.0, 0) (2590.0, 45.0)
sb64 (2661.0, 0) (2708.0, 50.0)
sb65 (1622.0, 0) (1678.0, 57.0)
sb66 (2329.0, 0) (2390.0, 67.0)
sb67 (2430.0, 0) (2470.0, 44.0)
sb68 (2239.0, 0) (2291.0, 63.0)
sb69 (2470.0, 0) (2497.0, 54.0)
sb70 (3243.0, 0) (3285.0, 42.0)
sb71 (1478.0, 0) (1500.0, 64.0)
sb72 (2887.0, 0) (2948.0, 61.0)
sb73 (3004.0, 0) (3065.0, 67.0)
sb74 (2590.0, 0) (2628.0, 42.0)
sb75 (1214.0, 0) (1233.0, 28.0)
sb76 (3097.0, 0) (3119.0, 33.0)
sb77 (1723.0, 0) (1780.0, 66.0)
sb78 (3065.0, 0) (3097.0, 36.0)
sb79 (1867.0, 0) (1908.0, 60.0)
sb80 (2291.0, 0) (2307.0, 58.0)
sb81 (2390.0, 0) (2430.0, 50.0)
sb82 (2708.0, 0) (2755.0, 57.0)
sb83 (3153.0, 0) (3169.0, 22.0)
sb84 (2307.0, 0) (2329.0, 67.0)
sb85 (1847.0, 0) (1867.0, 25.0)
sb86 (2948.0, 0) (2985.0, 56.0)
sb87 (2143.0, 0) (2182.0, 44.0)
sb88 (2215.0, 0) (2239.0, 37.0)
sb89 (3302.0, 0) (3329.0, 38.0)
sb90 (3210.0, 0) (3243.0, 39.0)
sb91 (2628.0, 0) (2661.0, 56.0)
sb92 (2871.0, 0) (2887.0, 26.0)
sb93 (2519.0, 0) (2554.0, 65.0)
sb94 (3169.0, 0) (3210.0, 59.0)
sb95 (2985.0, 0) (3004.0, 51.0)
sb96 (2755.0, 0) (2795.0, 66.0)
sb97 (3285.0, 0) (3302.0, 67.0)
sb98 (2497.0, 0) (2519.0, 62.0)
sb99 (2055.0, 0) (2104.0, 66.0)
